person,offer_id,received_time,label,treatment,offer_type,difficulty,reward,p_treatment,p_control,uplift_score,population_fraction,cum_treated,cum_control,cum_treated_outcome,cum_control_outcome,cumulative_gain,random_baseline,qini
0dc5a10c6c654387b7e1298724a464e1,5a8bc65990b245e5a138643cd4eb9837,168,1,1,bogo,0,0,0.7071021382951805,0.5364889643595411,0.17061317393563946,6.554798112218144e-05,1,0,1,0,1.0,0.039626002623812266,0.9603739973761878
d86d562ac40c482194fcd54999f82148,5a8bc65990b245e5a138643cd4eb9837,0,1,1,discount,0,0,0.7624619879622702,0.5971545174925852,0.16530747046968497,0.00013109596224436288,2,0,2,0,2.0,0.07925200524762453,1.9207479947523756
c10a9663c525488daae778bbf584906d,5a8bc65990b245e5a138643cd4eb9837,0,1,1,bogo,0,0,0.7650611383810658,0.5998126996713131,0.1652484387097527,0.0001966439433665443,3,0,3,0,3.0,0.11887800787143679,2.881121992128563
c4875ed3bb9e4823bdd7ab5171326dbb,5a8bc65990b245e5a138643cd4eb9837,336,1,1,discount,0,0,0.6770850958782116,0.5122258491295726,0.16485924674863905,0.00026219192448872575,4,0,4,0,4.0,0.15850401049524906,3.841495989504751
cf7e4e33c98e4a2489846d97d46cb84e,5a8bc65990b245e5a138643cd4eb9837,0,1,0,informational,0,0,0.7615712459656472,0.5996565911823202,0.161914654783327,0.0003277399056109072,4,1,4,1,0.0,0.19813001311906134,-0.19813001311906134
20b3452f733e43c39e6775b07bc270e7,5a8bc65990b245e5a138643cd4eb9837,336,1,0,informational,0,0,0.7065740342500463,0.5469028250802888,0.15967120916975752,0.0003932878867330886,4,2,4,2,0.0,0.23775601574287358,-0.23775601574287358
0679b66105224a0c960efdb95f19ee1d,5a8bc65990b245e5a138643cd4eb9837,0,1,0,informational,0,0,0.7515894409144155,0.5920850293607155,0.1595044115537,0.00045883586785527006,4,3,4,3,0.0,0.27738201836668586,-0.27738201836668586
27aa749a6f5f448e91327028a2ac7fb5,5a8bc65990b245e5a138643cd4eb9837,0,1,1,bogo,0,0,0.7605501381916883,0.6023984780970445,0.15815166009464376,0.0005243838489774515,5,3,5,3,0.0,0.31700802099049813,-0.31700802099049813
01772eae932447f9a853461a60820dc6,3f207df678b143eea3cee63160fa8bed,336,1,1,bogo,0,0,0.7893015332528239,0.6322921467443482,0.15700938650847573,0.0005899318300996329,6,3,6,3,0.0,0.3566340236143104,-0.3566340236143104
908e75ddf53e452d846784117066831d,5a8bc65990b245e5a138643cd4eb9837,168,0,0,informational,0,0,0.6842409799125383,0.5272520571718016,0.15698892274073672,0.0006554798112218144,6,4,6,3,1.5,0.3962600262381227,1.1037399737618774
